"stimulus","MOS","sd","freq","CI"
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp10_qt7_decompJPEG_2048x2048_Q75",3.22727272727273,0.885638289429729,44,0.261689391626398
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp10_qt8_decompJPEG_512x512_Q10",3.84615384615385,0.84412712744435,39,0.264930296249132
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp11_qt6_decompJPEG_1440x1440_Q25",2.45238095238095,0.889021960616051,42,0.26887097075733
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp9_qt6_decompJPEG_512x512_Q75",2.83720930232558,0.753728274839387,43,0.225287269291243
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp9_qt7_decompJPEG_1440x1440_Q10",3.02272727272727,0.848764803306501,44,0.25079397273372
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp10_qt6_decompJPEG_512x512_Q10",1.18604651162791,0.627003985461943,43,0.187409734296551
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp10_qt9_decompJPEG_2048x2048_Q90",1.14285714285714,0.417391935564841,42,0.126233748853441
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt10_decompJPEG_1024x1024_Q25",1.25581395348837,0.581173822691298,43,0.173711227067309
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt6_decompJPEG_512x512_Q10",1.05,0.220721427863152,40,0.0684022791643071
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt9_decompJPEG_1440x1440_Q75",1.14285714285714,0.354168801660573,42,0.107112887794641
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp8_qt8_decompJPEG_1440x1440_Q50",1.09302325581395,0.478785839805931,43,0.143107745889164
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp10_qt10_decompJPEG_512x512_Q50",4.025,0.697523090326379,40,0.21616464522709
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp11_qt10_decompJPEG_512x512_Q50",4.30952380952381,0.562576617572035,42,0.170142615135347
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp8_qt7_decompJPEG_512x512_Q90",2.4047619047619,0.857094462435586,42,0.259214991704028
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp8_qt8_decompJPEG_712x712_Q10",2.53488372093023,0.766837575441915,43,0.229205602507137
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt6_decompJPEG_2048x2048_Q25",2.54761904761905,0.802507684102136,42,0.242706063093468
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt7_decompJPEG_2048x2048_Q50",3.21428571428571,0.898120375595184,42,0.271622645942156
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt7_decompJPEG_512x512_Q50",3.51219512195122,0.80999849442799,41,0.247941003517895
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp11_qt10_decompJPEG_512x512_Q50",4.07317073170732,0.647697610866329,41,0.198260610012304
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp11_qt7_decompJPEG_1024x1024_Q50",3.31818181818182,0.828917121357943,44,0.244929357488079
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp9_qt6_decompJPEG_1024x1024_Q25",2.67441860465116,0.778304941846555,43,0.232633166192225
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp8_qt7_decompJPEG_2048x2048_Q50",1.88888888888889,0.714213560569253,45,0.208678596059642
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp8_qt8_decompJPEG_712x712_Q25",2.23809523809524,0.820752890815286,42,0.248224044265985
"170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp9_qt6_decompJPEG_512x512_Q75",2.47619047619048,0.803592398745607,42,0.24303411829582
